Project Name/Acronym,Jurisdiction Level,Org/Department,OSS License(s),URL,Date Added,Release Date,What it does,Notes
39A,Federal,NASA,Apache-2.0,http://spaceappschallenge.org/,10/4/2013,10/1/2013,39A is an online collaboration platform designed to help your community take ‘giant leaps’ forward in addressing your challenges and meeting your mission goals. It is easily customizable with your own graphics and branding and the platform is intended to be an inspirational launch pad for your collaborations!,
Accumulo,Federal,NSA,Apache License 2.0,http://incubator.apache.org/accumulo/,10/11/2011,9/6/2011,"""Accumulo is a sorted, distributed key/value store based on Google's BigTable design. It is built on top of Apache Hadoop, Zookeeper, and Thrift. It features a few novel improvements on the BigTable design in the form of cell-level access labels and a server-side programming mechanism that can modify key/value pairs at various points in the data management process.""",
AQUATOX,Federal,Environmental Protection Agency,"Unknown -- maybe public domain?  They just say it's ""open source"".",http://water.epa.gov/scitech/datait/models/aquatox/index.cfm,3/23/2012,8/1/2009,"AQUATOX is a simulation model for aquatic systems. AQUATOX predicts the fate of various pollutants, such as nutrients and organic chemicals, and their effects on the ecosystem, including fish, invertebrates, and aquatic plants. This model is a valuable tool for ecologists, biologists, water quality modelers, and anyone involved in performing ecological risk assessments for aquatic ecosystems.","Training materials and presentations available; also, there is an email listserv for users.  Excellent documentation appears to be available too.  The software requires Windows 98, 2000, NT, or XP."
BASINS,Federal,Environmental Protection Agency,"Mozilla Public License 1.1 (at least -- there may be other open source licenses, not sure)",http://water.epa.gov/scitech/datait/models/basins/BASINS4_index.cfm,3/23/2012,4/23/2007,"Open source GIS tool that integrates environmental data, analysis tools, and modeling systems, for example to calculate two-year predicted peak stream discharge based on drainage and elevation.  See also http://water.epa.gov/scitech/datait/models/basins/bsn3faqs.cfm.","Requires Microsoft IE, and .NET framework (thus MS Windows 2000 Service Pack 3 or higher, Windows ME, or Windows XP; Windows 98 can work but requires some patches and updates.)"
bind DNSSEC,Federal,DHS, ISC License,http://www.isc.org/software/bind,8/19/2011,,bind is a widely used Domain Name Server (DNS); DNS security (DNSSEC) is a security enhancement,DHS funded bind DNSSEC to improve the security of the Internet
BioMesh3D,Federal,NIH / SCII / CIBC,MIT,http://www.sci.utah.edu/cibc/software/231-biomesh3d.html,5/19/2011,9/23/2011,Tetrahedral mesh generator that can utilize segmented biomedical image data.,
Blossom,Local,"City of Bloomington, IN",AGPLv3 (customized),http://code.google.com/p/php-blossom/,5/12/2011,10/3/2006,PHP Framework for content management systems.,
BRL-CAD,Federal,US Army,"GPL, BSD",http://brlcad.org,,12/21/2004,"Solid modeling system including interactive geometry editing, ray-tracing for rendering and geometric analysis, image and signal-processing tools, a system performance analysis benchmark suite, and libraries for robust geometric representation",
BSD TCP/IP,Federal,DoD,BSD,,8/19/2011,3/9/1978,Implementation of TCP/IP Internet protocols,Enabled the creation and growth of the Internet
Cerebro,Federal,DOE / LLNL,GPLv2,http://sourceforge.net/projects/cerebro,5/12/2011,1/5/2006,Collection of cluster monitoring tools.,
CHAOS,Federal,DOE / LLNL,GPLv2,http://code.google.com/p/chaos-release,5/12/2011,10/26/2009,CentOS based Linux distribution that runs on Linux clusters.,
Civic-CMS,Local,"City of Bloomington, IN",AGPLv3 (customized),http://code.google.com/p/civic-cms/,5/12/2011,1/12/2010,Content management system for municipal websites.,
ConMan,Federal,DOE / LLNL,GPLv3,http://code.google.com/p/conman,5/12/2011,6/15/2010,High user/device volume serial console management.,
CoreFPUtest,Federal,DOE / LLNL,BSD 3-clause,https://computing.llnl.gov/linux/corefputest.html,5/12/2011,9/22/2010,Detects specific floating point errors in certain CPUs.,
Delta3D,Federal,DoD,"LGPL, GPL",http://www.delta3d.org/,,11/1/2004,"Gaming and simulation engine, including support for High Level Architecture (HLA), for a variety of uses including training, education, visualization, and entertainment.",
diod,Federal,DOE / LLNL,GPLv2,http://code.google.com/p/diod,5/12/2011,2/17/2012,Distributed I/O forwarding daemon.,
Distributed Data Framework (DDF),Federal,DoD,LGPL,https://github.com/codice/ddf,5/20/2013,5/10/2013,DDF is an interoperability platform that provides secure and scalable discovery and retrieval from a wide array of disparate sources. It is the core software component of the DCGS Integration Backbone (DIB) used by many government entities to expose and share data and services between systems.,
Drupal / Akamai,Federal,White House / EOP,GPLv2,http://drupal.org/project/akamai,,4/21/2010,Integrates with Akamai Cache Control Utility (CCU) Web Service,
Drupal / Context HTTP Headers,Federal,White House / EOP,GPLv2,http://drupal.org/project/context_http_headers,,4/21/2010,HTTP headers based on context,
Drupal / GovDelivery,Federal,White House / EOP,GPLv2,http://drupal.org/project/govdelivery,,4/21/2010,Integrates with the GovDelivery On-Demand Mailer service,
Drupal / Node Embed,Federal,White House / EOP,GPLv2,http://drupal.org/project/node_embed,,4/21/2010,Rendering of nodes within the body/fields of another node,
eas,Local,"City of San Francisco, CA",BSD 2-clause,http://code.google.com/p/eas,5/12/2011,7/16/2010,Enterprise Addressing System to help manage street addresses.,
Evergreen,State,GPLS,GPLv2 / GPLv3,http://evergreen-ils.org/,5/25/2011,11/29/2006,Library management software.,
Expect,Federal,NIST,Public Domain,http://expect.nist.gov,8/19/2011,1/30/1990,Tool for automating interactive applications,
EZRO,Federal,U.S. Department of Labor,GPL,http://ezro.devis.com,8/19/2011,12/24/2003,Managing web content,
FalconView,Federal,DoD/GTRI,LGPL,http://www.falconview.org/trac/FalconView,,8/18/2009,Mapping application,
FCC Github Repository,Federal,Federal Communications Commission,Various,https://github.com/fcc,8/30/2011,,The FCC develops several projects hosted on Github; the URL takes you to that list of projects.,
FPC,Federal,DOE / LLNL,GPLv2 (DOE-customized),https://computing.llnl.gov/linux/fpc.html,5/12/2011,12/5/2007,Manipulation of floating point unit exception masking.,
FreeIPMI,Federal,DOE / LLNL,"GPLv3, Sun",http://www.gnu.org/software/freeipmi/index.html,5/12/2011,9/20/2003,In-band/Out-of-band Intelligent Platform Management Interface (IPMI).,
Genders,Federal,DOE / LLNL,GPLv2,http://sourceforge.net/projects/genders/,5/12/2011,9/20/2005,Database for cluster configuration management.,
General Mission Analysis Tool (GMAT),Federal,NASA,NOSA,http://gmat.gsfc.nasa.gov,8/20/2011,4/17/2013,Mission Analysis Tool,
